Source,Destination,Anchor
https://www.hhs.gov/ohrp/regulations-and-policy/belmont-report/access-other-reports-by-the-national-commission/index.html,https://videocast.nih.gov/pdf/ohrp_appendix_psychosurgery.pdf,Appendix
https://www.hhs.gov/ohrp/regulations-and-policy/belmont-report/access-other-reports-by-the-national-commission/index.html,https://videocast.nih.gov/pdf/ohrp_appendix_research_fetus.pdf,Appendix
https://www.hhs.gov/ohrp/regulations-and-policy/belmont-report/access-other-reports-by-the-national-commission/index.html,https://videocast.nih.gov/pdf/ohrp_appendix_research_involving_children.pdf,Appendix
https://www.hhs.gov/ohrp/regulations-and-policy/belmont-report/access-other-reports-by-the-national-commission/index.html,https://videocast.nih.gov/pdf/ohrp_research_involving_prisoners.pdf,"Research Involving Prisoners, October 1, 1976"
https://www.hhs.gov/surgeongeneral/reports-and-publications/disease-prevention-wellness/index.html,https://www.cdc.gov/bloodpressure/CTAtoolkit.htm,Partner Toolkit
https://www.hhs.gov/surgeongeneral/reports-and-publications/disease-prevention-wellness/index.html,https://www.cdc.gov/bloodpressure/images/SG-CTA-Effects-HBP-Body.jpg,Infographic on Health Problems Caused by Hypertension
https://www.hhs.gov/surgeongeneral/reports-and-publications/disease-prevention-wellness/index.html,https://www.cdc.gov/bloodpressure/CTAstrategies.htm,Sectors and Strategies resource
https://www.hhs.gov/surgeongeneral/reports-and-publications/oral-health/index.html,https://www.nidcr.nih.gov/sites/default/files/2017-10/hck1ocv.%40www.surgeon.fullrpt.pdf,Report
https://www.hhs.gov/surgeongeneral/reports-and-publications/health-misinformation/index.html,https://www.hhs.gov/surgeongeneral/priorities/downloads/health-misinformation-confronting-intro.mp4,Download - MP4
https://www.hhs.gov/surgeongeneral/reports-and-publications/health-misinformation/index.html,https://www.cdc.gov/covid/vaccines/myths-facts.html,Myths and facts about COVID-19 vaccines
