Source,Destination,Anchor
https://www.hhs.gov/civil-rights/for-individuals/special-topics/emergency-preparedness/index.html,https://www.fema.gov/disaster/4332/updates/rumor-control,Rumor: Pets in Hotels (Transitional Sheltering Assistance)
https://www.hhs.gov/civil-rights/for-individuals/special-topics/emergency-preparedness/index.html,https://www.hhs.gov/sites/default/files/joint-guidance-titlevi-emergency-preparedness-august-2016.pdf,Read the Guidance
https://www.hhs.gov/civil-rights/for-individuals/special-topics/emergency-preparedness/diverse-cultural-origins/index.html,https://www.hhs.gov/sites/default/files/joint-guidance-titlevi-emergency-preparedness-august-2016.pdf,Read the Guidance
https://www.hhs.gov/civil-rights/for-individuals/special-topics/emergency-preparedness/diverse-cultural-origins/index.html,https://www.hhs.gov/sites/default/files/joint-guidance-titlevi-emergency-preparedness-august-2016.pdf,"Joint Guidance to State, Local Governments, Other Federally Assisted Recipients Engaged in Emergency Preparedness"
https://www.hhs.gov/civil-rights/for-individuals/special-topics/emergency-preparedness/index.html,https://www.samhsa.gov/homelessness-programs-resources/hpr-resources/toolkit-improve-disaster-preparedness,Planned Toolkit to Improve Disaster Preparedness and Recovery
https://www.hhs.gov/civil-rights/for-individuals/disability/section-504-rehabilitation-act-of-1973/index.html,https://www.hhs.gov/fr/civil-rights/for-individuals/disability/section-504-rehabilitation-act-of-1973/fact-sheet/index.html,Franais
https://www.hhs.gov/civil-rights/for-individuals/disability/section-504-rehabilitation-act-of-1973/index.html,https://www.hhs.gov/pl/civil-rights/for-individuals/disability/section-504-rehabilitation-act-of-1973/fact-sheet/index.html,Polski
https://www.hhs.gov/civil-rights/for-individuals/special-topics/emergency-preparedness/index.html,https://www.hhs.gov/pl/civil-rights/for-individuals/special-topics/emergency-preparedness/faqs-patient-visitation/index.html,Polski (Polish)
https://www.hhs.gov/civil-rights/for-individuals/special-topics/emergency-preparedness/index.html,https://www.hhs.gov/pt/civil-rights/for-individuals/special-topics/emergency-preparedness/faqs-patient-visitation/index.html,Portugus (Portuguese)
https://www.hhs.gov/civil-rights/for-individuals/disability/section-504-rehabilitation-act-of-1973/index.html,https://www.hhs.gov/pt/civil-rights/for-individuals/disability/section-504-rehabilitation-act-of-1973/fact-sheet/index.html,Portuguese
https://www.hhs.gov/civil-rights/for-individuals/disability/section-504-rehabilitation-act-of-1973/index.html,https://www.hhs.gov/ht/civil-rights/for-individuals/disability/section-504-rehabilitation-act-of-1973/fact-sheet/index.html,Krey˜l Ayisyen
https://www.hhs.gov/civil-rights/for-individuals/disability/section-504-rehabilitation-act-of-1973/index.html,https://www.hhs.gov/tl/civil-rights/for-individuals/disability/section-504-rehabilitation-act-of-1973/fact-sheet/index.html,Tagalog
https://www.hhs.gov/civil-rights/for-individuals/faqs/index.html,https://www.hhs.gov/node/2618,Civil Rights Enforcement through Other Agencies
https://www.hhs.gov/civil-rights/for-individuals/fact-sheets.html,https://www.hhs.gov/sites/default/files/howtofilecr.pdf,How to File a Discrimination Complaint
https://www.hhs.gov/civil-rights/for-individuals/special-topics/harassment/index.html,https://www.justice.gov/crt/title-ix,here
https://www.hhs.gov/civil-rights/for-individuals/special-topics/harassment/index.html,https://www.justice.gov/crt/title-ix,DOJ Title IX Legal Manual
https://www.hhs.gov/healthcare/workforce/recruit-train-retain/index.html,https://www.healthcenterinfo.org/quick-finds-workforce/,Health Center Resource Clearinghouse - Workforce Resources
https://www.hhs.gov/ohrp/education-and-outreach/about-research-participation/protegiendo-a-los-voluntarios-que-participan-en-investigaciones/por-que-los-reglamentos/index.html,https://history.nih.gov/research/downloads/nuremberg.pdf,C—digo de Nuremberg
https://www.hhs.gov/ohrp/regulations-and-policy/guidance/financial-conflict-of-interest/index.html,http://www.asgt.org/policy/index.html,http://www.asgt.org/policy/index.html
https://www.hhs.gov/ohrp/regulations-and-policy/guidance/financial-conflict-of-interest/index.html,http://www.aahrpp.org/images/Evaluation_Instrument_1.pdf,http://www.aahrpp.org/images/Evaluation_Instrument_1.pdf
https://www.hhs.gov/ohrp/coded-private-information-or-biospecimens-used-research.html,http://privacyruleandresearch.nih.gov/pdf/IRB_Factsheet.pdf,http://privacyruleandresearch.nih.gov/pdf/IRB_Factsheet.pdf - PDF
https://www.hhs.gov/ohrp/regulations-and-policy/guidance/research-involving-coded-private-information/index.html,http://privacyruleandresearch.nih.gov/pdf/IRB_Factsheet.pdf,http://privacyruleandresearch.nih.gov/pdf/IRB_Factsheet.pdf
https://www.hhs.gov/ohrp/regulations-and-policy/guidance/regarding-application-of-45-cfr-46-to-national-health-registry/index.html,https://www.hhs.gov/ohrp/regulations-and-policy/guidance/regarding-application-of-45-cfr-46-to-national-health-registry/regulations-and-policy/guidance/august-11-2011-letter-to-dr-anthony-asher/index.html,"¥ OHRP August 11, 2011 response"
https://www.hhs.gov/ohrp/regulations-and-policy/guidance/regarding-application-of-45-cfr-46-to-national-health-registry/index.html,https://www.hhs.gov/ohrp/regulations-and-policy/guidance/regarding-application-of-45-cfr-46-to-national-health-registry/regulations-and-policy/guidance/december-29-2011-letter-to-dr-anthony-asher/index.html,"¥ OHRP December 29, 2011 response"
https://www.hhs.gov/ohrp/regulations-and-policy/guidance/january-08-2010-correspondence-student-subject-pools-and-use-of-penalties/index.html,https://www.hhs.gov/ohrp/regulations-and-policy/guidance/january-08-2010-correspondence-student-subject-pools-and-use-of-penalties/regulations-and-policy/guidance/january-08-2010-letter-to-dr-justin-fidler/index.html,Letter
https://www.hhs.gov/about/agencies/ogc/ethics-questions-and-answers/index.html,https://osc.gov/Documents/Outreach%20and%20Training/Posters/The%20Hatch%20Act%20and%20Most%20Federal%20Employees%20Poster.pdf,here
https://www.hhs.gov/about/agencies/ogc/ethics-rules-applicable-employees-participating-opms-deferred-resignation-program/index.html,https://osc.gov/Documents/Outreach%20and%20Training/Posters/The%20Hatch%20Act%20and%20Most%20Federal%20Employees%20Poster.pdf,Hatch Act Ð most employees
https://www.hhs.gov/about/agencies/ogc/ethics-questions-and-answers/index.html,https://osc.gov/Documents/Hatch%20Act/Social%20Media%20Quick%20Guide.pdf,here
https://www.hhs.gov/surgeongeneral/reports-and-publications/disease-prevention-wellness/hypertension-executive-summary/index.html,https://www.hhs.gov/file/22054,Surgeon GeneralÕs Call to Action to Control Hypertension (Call to Action)
https://www.hhs.gov/about/strategic-plan/appendix-b/index.html,https://www.hhs.gov/about/agencies/operating-divisions/index.html,11 operating divisions
https://www.hhs.gov/guidance/document/petition-response-rb-02022022-and-exhibit,https://www.hhs.gov/guidance/sites/default/files/hhs-guidance-documents/Petition%20Response%20to%20RB%2002022022%20and%20Exhibit%20A_0.pdf,Download the Guidance Document
https://www.hhs.gov/about/hhs-manuals/hhs-facilities-manual/historic-archeological-preservation/index.html,https://www.gsa.gov/policy-regulations/regulations/federal-management-regulation-fmr/i450672,FMR ¤ 102-73.5
https://www.hhs.gov/about/hhs-manuals/hhs-facilities-manual/historic-archeological-preservation/index.html,https://www.gsa.gov/policy-regulations/regulations/federal-management-regulation-fmr/i450672,¤102-73.120
https://www.hhs.gov/about/hhs-manuals/hhs-facilities-manual/historic-archeological-preservation/index.html,https://www.gsa.gov/policy-regulations/regulations/federal-management-regulation-fmr/i450672,¤102-73.125
https://www.hhs.gov/about/hhs-manuals/hhs-facilities-manual/project-planning/index.html,https://www.gsa.gov/policy-regulations/regulations/federal-management-regulation-fmr/i450672,FMR ¤102-73.240 through 73.250
https://www.hhs.gov/about/hhs-manuals/hhs-facilities-manual/project-planning/index.html,https://www.gsa.gov/policy-regulations/regulations/federal-management-regulation-fmr/i450672,FMR ¤102-73
https://www.hhs.gov/about/hhs-manuals/hhs-facilities-manual/project-planning/index.html,https://www.gsa.gov/policy-regulations/regulations/federal-management-regulation-fmr/i450672,FMR ¤102-73.255 through 73.260
https://www.hhs.gov/about/hhs-manuals/hhs-facilities-manual/delegations-of-authority/index.html,https://www.gsa.gov/policy-regulations/regulations/federal-management-regulation-fmr/i450672,¤102-73.140
https://www.hhs.gov/about/hhs-manuals/hhs-facilities-manual/delegations-of-authority/index.html,https://www.gsa.gov/policy-regulations/regulations/federal-management-regulation-fmr/i450672,¤102-73.140
https://www.hhs.gov/about/hhs-manuals/hhs-facilities-manual/leasing/index.html,https://www.gsa.gov/policy-regulations/regulations/federal-management-regulation-fmr/i450672,GSA FMR Subpart BÑAcquisition by Lease
https://www.hhs.gov/about/hhs-manuals/hhs-facilities-manual/historic-archeological-preservation/index.html,https://www.gsa.gov/policy-regulations/regulations/federal-management-regulation-fmr/i444694,Federal Management Regulation (FMR) Part 102-78 Ð Historic Preservation
https://www.hhs.gov/about/hhs-manuals/hhs-facilities-manual/historic-archeological-preservation/index.html,https://www.gsa.gov/policy-regulations/regulations/federal-management-regulation-fmr/i444694,102-78.55
https://www.hhs.gov/opioids/prevention/prevention-programs-tools/index.html,https://www.cdc.gov/drugoverdose/pdmp/states.html,Prescription Drug Monitoring Programs (PDMPs)
https://www.hhs.gov/ohrp/international/compilation-human-research-standards/asia-pacific/index.html,https://www.crc.gov.my/wp-content/uploads/2016/07/Guideline_on_Human_Tissue_in_Clinical_Research.pdf,Malaysian Guideline on the Use of Human Biological Sample for Research (2015)
https://www.hhs.gov/ohrp/international/compilation-human-research-standards/asia-pacific/index.html,https://www.bioethics-singapore.gov.sg/files/publications/reports/human-tissue-research-full-report.pdf,"BAC, Human Tissue Research (2002)"
https://www.hhs.gov/ohrp/international/compilation-human-research-standards/asia-pacific/index.html,https://www.moh.gov.sg/docs/librariesprovider5/legislation/guidance-on-appropriate-consent_17-may-2019.pdf,Guide on Appropriate Consent for HBR & Handling of Human Tissue (2019)
https://www.hhs.gov/ohrp/international/compilation-human-research-standards/asia-pacific/index.html,https://www.npra.gov.my/images/Guidelines_Central/Guidelines_on_Clinical_Trial/MalaysianGuidelineforGoodClinicalPractice.pdf,"NPRA, Malaysian Guidelines of Good Clinical Practice, 4th Ed (2018)"
https://www.hhs.gov/ohrp/international/compilation-human-research-standards/asia-pacific/index.html,https://www.npra.gov.my/images/Guidelines_Central/Guidelines_on_Clinical_Trial/MalaysianGuidelineforGoodClinicalPractice.pdf,"NPRA, Malaysian Guidelines of Good Clinical Practice, 4th Ed (2018)"
https://www.hhs.gov/ohrp/international/compilation-human-research-standards/asia-pacific/index.html,https://www.bioethics-singapore.gov.sg/files/publications/reports/personal-informations-in-biomedical-research-full-report.pdf,Personal Information in Biomedical Research (2007)
https://www.hhs.gov/ohrp/international/compilation-human-research-standards/asia-pacific/index.html,https://www.bioethics-singapore.gov.sg/files/publications/reports/genetic-testing-and-genetic-research-full-report.pdf,Genetic Testing and Genetic Research (2005)
https://www.hhs.gov/ohrp/international/compilation-human-research-standards/asia-pacific/index.html,https://www.bioethics-singapore.gov.sg/files/publications/reports/human-animal-combinations-in-stem-cell-research-full-report.pdf,Human?Animal Combinations in Stem?Cell Research (2010)
https://www.hhs.gov/ohrp/international/compilation-human-research-standards/asia-pacific/index.html,https://npra.gov.my/easyarticles/images/users/1140/Malaysian-Guideline-for-Application-of-CTIL-and-CTX-8th-Ed-Final.pdf,"Malaysian Guideline for Application of Clinical Trial Import License and Clinical Trial Exemption, 7th/8th Edition"
https://www.hhs.gov/ohrp/international/compilation-human-research-standards/asia-pacific/index.html,https://www.bioethics-singapore.gov.sg/files/publications/reports/donation-of-human-eggs-for-research-full-report.pdf,Donation of Human Eggs for Research (2008)
https://www.hhs.gov/ohrp/international/compilation-human-research-standards/asia-pacific/index.html,https://www.hsa.gov.sg/docs/default-source/hprg-io-ctb/hsa_gn-ioctb-11_gcp_inspection_1mar2021.pdf,Singapore Guidance on GCP Compliance Inspection (2021)
https://www.hhs.gov/ohrp/international/compilation-human-research-standards/asia-pacific/index.html,https://www.moh.gov.my/moh/resources/Penerbitan/Garis%20Panduan/Garis%20panduan%20Umum%20(Awam)/Guidelines_On_Ethical_Issues_In_The_Provision_Of_Medical_Genetics_Services_In_Malaysia_(1).pdf,"MOH, Guidelines on Ethical Issues in Medical Genetics Services (2019)"
https://www.hhs.gov/ohrp/international/compilation-human-research-standards/asia-pacific/index.html,https://www.moh.gov.sg/docs/librariesprovider5/legislation/guidance-on-prohibition-against-commercial-trading-of-human-tissue-under-hbra---february-2017.pdf,Guidance on Prohibition against Commercial Trading of Human Tissue (2017)
https://www.hhs.gov/ohrp/international/compilation-human-research-standards/asia-pacific/index.html,https://www.npra.gov.my/images/Guidelines_Central/Guidelines_on_Clinical_Trial/MALAYSIAN-GUIDELINE-FOR-PHASE-I-UNIT-INSPECTION.pdf,"NPRA, Phase I Unit Inspection & Accreditation Program (2018)"
https://www.hhs.gov/ohrp/international/compilation-human-research-standards/asia-pacific/index.html,https://www.ehealth.gov.hk/en/home/index.html,eHealth Electronic Health Record Sharing System
https://www.hhs.gov/ohrp/international/compilation-human-research-standards/asia-pacific/index.html,https://www.safetyandquality.gov.au/our-work/health-and-human-research/national-mutual-acceptance-scheme-ethical-and-scientific-review-multi-centre-research,"Australian States and Territories, National Mutual Acceptance of Scientific and Ethical Review of Multi?Centre Human Research"
https://www.hhs.gov/ohrp/international/compilation-human-research-standards/asia-pacific/index.html,https://www.moh.gov.my/index.php/database_stores/store_view_page/70/70,"MOH, National Standards For Stem Cell Transplantation (2nd ed., 2018)"
https://www.hhs.gov/ohrp/international/compilation-human-research-standards/asia-pacific/index.html,https://www.bioethics-singapore.gov.sg/files/publications/reports/ethical-legal-and-social-issues-in-human-stem-cell-research-reproduction-full-report.pdf,"Ethical, Legal and Social Issues in Human Stem Cell Research (2002)"
https://www.hhs.gov/ohrp/international/compilation-human-research-standards/asia-pacific/index.html,https://mmc.gov.my/wp-content/uploads/2019/11/Clinical-TrialsBiomedical-Research.pdf,Clinical Trials and Biomedical Research (2007)
https://www.hhs.gov/ohrp/international/compilation-human-research-standards/asia-pacific/index.html,https://mmc.gov.my/wp-content/uploads/2019/11/MMC_Guideline_001-2009__Stem_Cell__-_040909.pdf,"MMC, Stem Cell Research and Stem Cell Therapy, Guideline 002/2009"
https://www.hhs.gov/ohrp/international/compilation-human-research-standards/africa/index.html,https://www.tmda.go.tz/fooddrugscosmeticsact/2003,"Tanzania Food, Drugs, and Cosmetics Act, Sections 61, 66, 67, and 69 (2003)"
https://www.hhs.gov/ohrp/international/compilation-human-research-standards/africa/index.html,https://www.moh.gov.et/en/node/35,Ministry of Health
https://www.hhs.gov/hipaa/for-individuals/right-to-access/index.html,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/understanding/consumers/understanding-hipaa-notice.pdf,Understanding the HIPAA Notice
https://www.hhs.gov/hipaa/for-individuals/mental-health/index.html,https://www.hhs.gov/sites/default/files/minor-professional-judgment-infographic-12122017.pdf,When may a mental health professional use professional judgment to decide whether to share a minor clientÕs treatment information with a parent? (infographic)
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/guidance-federal-legal-standards-covid-19-vaccination-programs/index.html,https://www.cdc.gov/coronavirus/2019-ncov/vaccines/resource-center.html,https://www.cdc.gov/coronavirus/2019-ncov/vaccines/resource-center.html
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/guidance-federal-legal-standards-covid-19-vaccination-programs/index.html,https://www.cdc.gov/coronavirus/2019-ncov/community/health-equity/racial-ethnic-disparities/disparities-deaths.html,https://www.cdc.gov/coronavirus/2019-ncov/community/health-equity/racial-ethnic-disparities/disparities-deaths.html
https://www.hhs.gov/civil-rights/for-individuals/disability/guidance-on-nondiscrimination-in-telehealth/index.html,https://www.ada.gov/effective-comm.pdf,https://www.ada.gov/effective-comm.pdf
https://www.hhs.gov/civil-rights/for-individuals/disability/guidance-on-nondiscrimination-in-telehealth/index.html,https://www.ada.gov/effective-comm.pdf,https://www.ada.gov/effective-comm.pdf
https://www.hhs.gov/civil-rights/for-individuals/disability/guidance-on-nondiscrimination-in-telehealth/index.html,https://telehealth.hhs.gov/providers/health-equity-in-telehealth,https://telehealth.hhs.gov/providers/health-equity-in-telehealth
https://www.hhs.gov/civil-rights/for-individuals/disability/guidance-on-nondiscrimination-in-telehealth/index.html,https://civilrights.justice.gov/report/or,https://civilrights.justice.gov/report/
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/disabilty-faqs/index.html,https://www.hhs.gov/sites/default/files/title-vi-bulletin.pdf,"race, color, national origin"
https://www.hhs.gov/about/agencies/asa/ohr/hr-library/300-3/index.html,https://www.law.cornell.edu/uscode/text/5a/compiledact-95-521,5 U.S.C. app.
https://www.hhs.gov/about/agencies/asa/ohr/hr-library/300-3/index.html,https://www.law.cornell.edu/uscode/text/5a/compiledact-95-521,5 U.S.C. app.
https://www.hhs.gov/about/agencies/asa/ohr/hr-library/300-3/index.html,https://iocareers.state.gov/Main/Content/Page/approved-international-organizations,https://iocareers.state.gov/Main/Content/Page/approved-international-organizations
https://www.hhs.gov/about/agencies/asa/ohr/hr-library/302-1/index.html,https://www.hhs.gov/sites/default/files/hr-resource-library-42-2.pdf,Service Fellows
https://www.hhs.gov/about/agencies/asa/ohr/hr-library/362-1/index.html,https://www.pmf.gov/media/qq4m25ep/2024-pmf-applicant-handbook-08-04-2023.pdf,OPM PMF Handbook
https://www.hhs.gov/about/agencies/asa/ohr/hr-library/362-1/index.html,https://www.pmf.gov/media/47522/opm_form_1302_pmf_idp_04-18-13_form.pdf,OPM Form 1302
https://www.hhs.gov/privacy/sorns/hhs-non-exempt-systems/index.html,https://www.hhs.gov/foia/privacy/recordsnotices/09400004.html,09-40-0004
https://www.hhs.gov/privacy/sorns/hhs-non-exempt-systems/index.html,https://www.hhs.gov/foia/privacy/recordsnotices/09400012.html,09-40-0012
https://www.hhs.gov/privacy/sorns/hhs-non-exempt-systems/index.html,https://www.hhs.gov/foia/privacy/recordsnotices/09900008.html,09-90-0008
https://www.hhs.gov/privacy/sorns/hhs-non-exempt-systems/index.html,https://www.hhs.gov/foia/privacy/recordsnotices/09400011.html,09-40-0011
https://www.hhs.gov/privacy/sorns/hhs-non-exempt-systems/index.html,https://www.hhs.gov/foia/privacy/recordsnotices/09400001.html,09-40-0001
https://www.hhs.gov/privacy/sorns/hhs-non-exempt-systems/index.html,https://www.hhs.gov/foia/privacy/recordsnotices/09400002.html,09-40-0002
https://www.hhs.gov/privacy/sorns/hhs-non-exempt-systems/index.html,https://www.hhs.gov/foia/privacy/recordsnotices/09400005.html,09-40-0005
https://www.hhs.gov/ohrp/regulations-and-policy/regulations/common-rule/index.html,https://www.usaid.gov/who-we-are/agency-policy/external-reference-links/cfr,Agency for International Development
https://www.hhs.gov/about/agencies/asl/about-asl/grants/index.html,https://aspe.hhs.gov/pic/,Assistant Secretary for Planning and Evaluation (Policy)
https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/index.html,https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/regulations-and-policy/guidance/extension-of-institutional-fwa-via-individual-investigator-agreement/index.html,Individual Investigator Agreement (IIA)
https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/index.html,https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/regulations-and-policy/guidance/extension-of-institutional-fwa-via-individual-investigator-agreement/index.html,OHRP's guidance on the use of the IAA
https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/index.html,https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/regulations-and-policy/guidance/guidance-on-engagement-of-institutions/index.html,(B)(1)
https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/index.html,https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/regulations-and-policy/guidance/guidance-on-engagement-of-institutions/index.html,2008 engagement guidance document
https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/index.html,https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/regulations-and-policy/guidance/guidance-on-engagement-of-institutions/index.html,(A)(5)
https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/index.html,https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/regulations-and-policy/guidance/guidance-on-engagement-of-institutions/index.html,(B)(1)
https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/index.html,https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/regulations-and-policy/guidance/guidance-on-engagement-of-institutions/index.html,(A)(5)
https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/index.html,https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/regulations-and-policy/guidance/guidance-on-engagement-of-institutions/index.html,(B)(1)(b)
https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/index.html,https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/regulations-and-policy/guidance/guidance-on-engagement-of-institutions/index.html,(B)(1)(c)
https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/index.html,https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/regulations-and-policy/regulations/45-cfr-46/index.html,45 CFR 46.102(d)
https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/index.html,https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/register-irbs-and-obtain-fwas/fwas/index.html,Terms of Assurance
https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/index.html,https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/register-irbs-and-obtain-fwas/fwas/index.html,Term 7 of the Terms of Assurance
https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/index.html,https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/register-irbs-and-obtain-fwas/fwas/index.html,Term 8 of the Terms of Assurance
https://www.hhs.gov/answers/medicare-and-medicaid/index.html,https://www.medicare.gov/your-medicare-costs/medicare-costs-at-a-glance,View Medicare costs at a glance.
https://www.hhs.gov/answers/medicare-and-medicaid/how-much-are-medicare-premiums/index.html,https://www.medicare.gov/your-medicare-costs/medicare-costs-at-a-glance,"View a summary of Medicare premium, deductible, and coinsurance rates that are in effect in 2021."
https://www.hhs.gov/answers/medicare-and-medicaid/how-much-are-medicare-premiums/index.html,https://www.medicare.gov/your-medicare-costs/part-b-costs,How much does Part B cost?
https://www.hhs.gov/answers/medicare-and-medicaid/how-much-are-medicare-premiums/index.html,https://www.medicare.gov/your-medicare-costs/part-a-costs,premium-free Part A
https://www.hhs.gov/answers/medicare-and-medicaid/how-much-are-medicare-premiums/index.html,https://www.medicare.gov/your-medicare-costs/part-a-costs,How much does Part A cost?
https://www.hhs.gov/answers/medicare-and-medicaid/how-much-are-medicare-premiums/index.html,https://www.medicare.gov/your-medicare-costs/get-help-paying-costs/find-your-level-of-extra-help-part-d,Costs if you get Extra Help
https://www.hhs.gov/answers/if-my-employer-requires-proof-of-my-covid-19-vaccination-status/index.html,https://www.cdc.gov/coronavirus/2019-ncov/daily-life-coping/returning-to-work.html,protect yourself and others in the workplace
https://www.hhs.gov/answers/public-health-and-safety/what-is-the-difference-between-isolation-and-quarantine/index.html,https://www.cdc.gov/quarantine/quarantineisolation.html,public health practices
https://www.hhs.gov/answers/public-health-and-safety/what-is-the-difference-between-isolation-and-quarantine/index.html,https://www.cdc.gov/coronavirus/2019-ncov/your-health/quarantine-isolation.html,quarantine and isolation for COVID-19
https://www.hhs.gov/answers/programs-for-families-and-children/what-is-child-abuse/index.html,https://www.childwelfare.gov/topics/systemwide/laws-policies/can/,state or territory may also define child abuse and neglect
https://www.hhs.gov/answers/grants-and-contracts/what-are-legal-obligations-when-receiving-a-federal-grant/index.html,https://obamawhitehouse.archives.gov/omb/grants/sf269.pdf,https://obamawhitehouse.archives.gov/omb/grants/sf269.pdf
https://www.hhs.gov/grants-contracts/contracts/contract-policies-regulations/salary-rate-limitation/index.html,https://www.hhs.gov/asfr/ogapa/acquisition/apm-2012-03.html,APM 2012-03
https://www.hhs.gov/grants-contracts/contracts/contract-policies-regulations/spending-on-food/index.html,https://www.gao.gov/special.pubs/d04261sp.pdf,"Principles of Federal Appropriations Law, 4-19"
https://www.hhs.gov/grants-contracts/contracts/contract-policies-regulations/spending-on-food/index.html,https://www.hhs.gov/asfr/ogapa/index.html,https://www.hhs.gov/asfr/ogapa/index.html
https://www.hhs.gov/about/agencies/dab/decisions/alj-decisions/2021/alj-cr5922/index.html,https://www.cdc.gov/bloodpressure/about.htm,https://www.cdc.gov/bloodpressure/about.htm
https://www.hhs.gov/hipaa/for-professionals/security/guidance/guidance-risk-analysis/index.html,https://hitrustalliance.net/csf-rmf-related-documents,https://hitrustalliance.net/csf-rmf-related-documents
https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/agreements/feinstein/index.html,https://www.hhs.gov/sites/default/files/fimr-resolution-agreement-and-corrective-action-plan.pdf,Read the Resolution Agreement
https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/agreements/stlukes/index.html,https://www.hhs.gov/sites/default/files/st-lukes-signed-ra-cap.pdf,Read the Resolution Agreement and Corrective Action Plan
https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/agreements/sjh/index.html,https://www.hhs.gov/sites/default/files/signed-sjh-ra-and-cap.pdf,Read the Resolution Agreement and Corrective Action Plan
https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/agreements/north-memorial-health-care/index.html,https://www.hhs.gov/sites/default/files/north-memorial-ra-and-cap-march-2016.pdf,Read the Resolution Agreement
https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/agreements/lincare/index.html,https://www.hhs.gov/sites/default/files/lincare-nfd-for-web.pdf,Read the Notice of Final Determination
https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/agreements/presence/index.html,https://www.hhs.gov/about/news/2017/01/09/first-hipaa-enforcement-action-lack-timely-breach-notification-settles-475000.html,Read the HHS Press Release
https://www.hhs.gov/civil-rights/for-providers/compliance-enforcement/agreements/georgia-dcfs-bulletin/index.html,https://www.hhs.gov/sites/default/files/DFCS%20Revised%20Settlement%20Agreement%20clean%20(508).pdf,click here
https://www.hhs.gov/civil-rights/for-individuals/faqs/filing-a-complaint-how-do-i-file-a-civil-rights-complaint/202/index.html,https://www.hhs.gov/node/3083,Filing a Complaint
https://www.hhs.gov/civil-rights/for-individuals/faqs/how-do-i-file-a-civil-rights-complaint/201/index.html,https://www.hhs.gov/node/3083,Find out how to file a civil rights complaint.
https://www.hhs.gov/civil-rights/for-individuals/special-topics/national-origin/joint-letter-august-2016/index.html,https://www.hhs.gov/sites/default/files/Joint-Letter-August-2016.pdf,Read the Joint Letter
https://www.hhs.gov/civil-rights/for-individuals/special-topics/hospitals-effective-communication/disability-resources-effective-communication/index.html,https://www.hhs.gov/sites/default/files/ocr/civilrights/clearance/signlanguagelist.pdf,Chart for Sign Language Interpreters Chart
https://www.hhs.gov/about/agencies/asl/testimony/2024/07/23/are-cdcs-priorities-restoring-public-trust-people-and-improving-the-health-of-the-american-people.html,https://www.cdc.gov/healthyyouth/data/yrbs/pdf/YRBS_Data-Summary-Trends_Report2023_508.pdf,Youth Risk Behavior Survey Data Summary & Trends Report: 2011-2021 (cdc.gov)
https://www.hhs.gov/about/agencies/asl/testimony/2024/07/23/are-cdcs-priorities-restoring-public-trust-people-and-improving-the-health-of-the-american-people.html,https://www.cdc.gov/healthyyouth/data/yrbs/pdf/YRBS_Data-Summary-Trends_Report2023_508.pdf,Youth Risk Behavior Survey Data Summary & Trends Report: 2011-2021 (cdc.gov)
